variant_id,module,signal,rebalance,portfolio,method,lookback,cost_layer,start_date,end_date,trading_days,total_return,cagr,sharpe,max_drawdown,calmar,volatility,nav_final,total_turnover,annualized_turnover,taxable_turnover,tax_paid_krw,tax_drag_sharpe,top_asset,top_asset_contribution,qqq_exposure,qqq_contribution,p08_proxy_sharpe_diff,p08_proxy_mdd_diff,ew13_sharpe_diff,n001_b_sharpe_diff,n002_b_sharpe_diff,random_percentile
XETF900_V04,A,ret_6m,quarterly,risk_top3_def_top2,,0,after_cost,2011-01-04,2026-05-18,3865,1.000828333459748,0.04616544794888089,0.34170647873166266,-0.46713331560786253,0.09882713650771745,0.17997505695996194,1.9948258484593688,76.62013672464265,4.98583733095951,37.810068362321324,0.0,-0.08240950682202913,EWY,0.4069643652864009,0.33333333333332976,0.3109451496764275,-0.693936549700193,-0.31289829899769617,-0.5130910564484163,-0.8427195016035209,-0.8242730843270238,13.0
XETF900_V04,A,ret_6m,quarterly,risk_top3_def_top2,,0,after_tax,2011-01-04,2026-05-18,3865,0.6375834624635679,0.032615594546570925,0.268279793680915,-0.4971277699503067,0.0656080720452032,0.18185456114046758,1.6326707120761772,76.76500101583163,4.995263962414485,37.980911003530004,20167180.684752494,-0.1558361918727768,EWY,0.4069643652864009,0.33333333333332976,0.3109451496764275,-0.7673632347509407,-0.34289275334014035,-0.586517741499164,-0.9161461866542686,-0.8976997693777715,13.0
XETF900_V05,A,ret_12m_skip_1m,monthly,risk_top2_def_top2,,0,gross,2011-01-04,2026-05-18,3865,2.664956374857541,0.08819110696565469,0.559335030303658,-0.28777892762201374,0.3064543595821937,0.18064132012411152,3.664956374857541,118.5703586693796,7.71562863067716,58.78517933468981,0.0,0.0,QQQ,0.5379388617845984,0.5,0.5379388617845984,-0.4763079981281976,-0.13354391101184737,-0.295462504876421,-0.6250909500315255,-0.6066445327550284,89.0
XETF900_V05,A,ret_12m_skip_1m,monthly,risk_top2_def_top2,,0,after_cost,2011-01-04,2026-05-18,3865,1.5737184398340154,0.06344758859143096,0.43141782278920376,-0.34255587882474536,0.185218215518909,0.18086619959824718,2.565997284514513,118.5703586693796,7.71562863067716,58.78517933468981,0.0,-0.1279172075144543,QQQ,0.5379388617845984,0.5,0.5379388617845984,-0.6042252056426518,-0.188320862214579,-0.4233797123908753,-0.7530081575459797,-0.7345617402694826,89.0
XETF900_V05,A,ret_12m_skip_1m,monthly,risk_top2_def_top2,,0,after_tax,2011-01-04,2026-05-18,3865,1.087418375622414,0.04905360064715891,0.35413505529484285,-0.3605055527103088,0.13606891843515342,0.18279802659178754,2.081156120495547,118.75396285964263,7.7275761508078515,58.98002131747098,26184795.973685365,-0.2051999750088152,QQQ,0.5379388617845984,0.5,0.5379388617845984,-0.6815079731370128,-0.20627053610014245,-0.5006624798852362,-0.8302909250403407,-0.8118445077638436,89.0
XETF900_V06,A,ret_12m_skip_1m,monthly,risk_top3_def_top2,,0,gross,2011-01-04,2026-05-18,3865,2.587965979551413,0.08668876008167858,0.5754149074038123,-0.24710988470729744,0.35081057232640345,0.169882674536443,3.587965979551413,105.73157335897005,6.880181216704759,52.36578667948504,0.0,0.0,QQQ,0.43399511365702803,0.33333333333332976,0.43399511365702803,-0.46022812102804334,-0.09287486809713108,-0.27938262777626677,-0.6090110729313712,-0.5905646556548741,92.10000000000001
XETF900_V06,A,ret_12m_skip_1m,monthly,risk_top3_def_top2,,0,after_cost,2011-01-04,2026-05-18,3865,1.6189287867570483,0.06465331103829697,0.4545418724088504,-0.2929005704445954,0.2207346709504845,0.16989615808598768,2.6110720003967773,105.73157335897002,6.880181216704758,52.36578667948504,0.0,-0.12087303499496188,QQQ,0.43399511365702803,0.33333333333332976,0.43399511365702803,-0.5811011560230053,-0.13866555383442902,-0.40025566277122865,-0.7298841079263332,-0.7114376906498361,92.10000000000001
XETF900_V06,A,ret_12m_skip_1m,monthly,risk_top3_def_top2,,0,after_tax,2011-01-04,2026-05-18,3865,1.158610539403087,0.05134545371625876,0.37840127170890736,-0.3100264668082906,0.16561635606423555,0.1715263713622694,2.1521347077848776,105.85818075814038,6.888419832872042,52.519774608021116,27738888.19090327,-0.19701363569490493,QQQ,0.43399511365702803,0.33333333333332976,0.43399511365702803,-0.6572417567229483,-0.15579145019812424,-0.4763962634711717,-0.8060247086262762,-0.7875782913497791,92.10000000000001
XETF900_V07,A,ret_12m_skip_1m,quarterly,risk_top2_def_top2,,0,gross,2011-01-04,2026-05-18,3865,1.5764219087891203,0.06352024241351639,0.42137165955509936,-0.32369292694007257,0.1962361149314712,0.18889071474811026,2.5764219087891203,66.65550514499819,4.337417290969284,32.82775257249908,0.0,0.0,QQQ,0.5926752851431623,0.5,0.5926752851431623,-0.6142713688767563,-0.1694579103299062,-0.4334258756249797,-0.7630543207800842,-0.7446079035035871,24.0
XETF900_V07,A,ret_12m_skip_1m,quarterly,risk_top2_def_top2,,0,after_cost,2011-01-04,2026-05-18,3865,1.1148167842973793,0.04994415057099322,0.3533414903919617,-0.33595188532287745,0.14866459380929734,0.18874655792183437,2.108472333944487,66.65550514499819,4.337417290969284,32.82775257249909,0.0,-0.06803016916313764,QQQ,0.5926752851431623,0.5,0.5926752851431623,-0.6823015380398939,-0.1817168687127111,-0.5014560447881173,-0.8310844899432218,-0.8126380726667247,24.0
XETF900_V07,A,ret_12m_skip_1m,quarterly,risk_top2_def_top2,,0,after_tax,2011-01-04,2026-05-18,3865,0.7922974455219041,0.03869954196674774,0.29561081143534057,-0.33595188532287723,0.11519370379348912,0.1897838842750491,1.7869205531853383,66.80360683584624,4.347054586993202,32.982851258360704,18206698.437270477,-0.1257608481197588,QQQ,0.5926752851431623,0.5,0.5926752851431623,-0.740032216996515,-0.18171686871271087,-0.5591867237447385,-0.8888151688998429,-0.8703687516233458,24.0
XETF900_V08,A,ret_12m_skip_1m,quarterly,risk_top3_def_top2,,0,gross,2011-01-04,2026-05-18,3865,1.3645558478992705,0.057598168225994506,0.4030892538545356,-0.3012366094530988,0.19120573800961693,0.17912801910974557,2.3645558478992705,60.89732783549264,3.9627202907382304,29.94866391774631,0.0,0.0,QQQ,0.4601183231500403,0.33333333333332976,0.4601183231500403,-0.63255377457732,-0.14700159284293246,-0.45170828132554347,-0.7813367264806479,-0.7628903092041508,12.5
XETF900_V08,A,ret_12m_skip_1m,quarterly,risk_top3_def_top2,,0,after_cost,2011-01-04,2026-05-18,3865,0.9748380502091167,0.04527573875501667,0.3376146964438323,-0.3012366094530986,0.15029958953931835,0.1790287825689474,1.9689135360584893,60.89732783549264,3.9627202907382304,29.94866391774631,0.0,-0.0654745574107033,QQQ,0.4601183231500403,0.33333333333332976,0.4601183231500403,-0.6980283319880234,-0.14700159284293224,-0.5171828387362467,-0.8468112838913513,-0.8283648666148542,12.5
XETF900_V08,A,ret_12m_skip_1m,quarterly,risk_top3_def_top2,,0,after_tax,2011-01-04,2026-05-18,3865,0.6567031639741778,0.033395878169664606,0.2730667669287078,-0.3140018025891066,0.10635568934413239,0.18015439100199968,1.6517330544822553,61.05224503110541,3.9728010863372973,30.103581113359077,20069225.99966811,-0.1300224869258278,QQQ,0.4601183231500403,0.33333333333332976,0.4601183231500403,-0.7625762615031478,-0.15976678597894023,-0.5817307682513713,-0.9113592134064757,-0.8929127961299786,12.5
